film,year,wiki_url,oscar_winner,detail_url,producers,production_company,original_budget,converted_budget
Heaven Can Wait,1978,http://en.wikipedia.org/wiki/Heaven_Can_Wait_(1978_film),False,http://oscars.yipitdata.com/films/Heaven_Can_Wait_(1978_film),Warren Beatty,Paramount,$15 million [ 1 ],15000000
Midnight Express,1978,http://en.wikipedia.org/wiki/Midnight_Express_(film),False,http://oscars.yipitdata.com/films/Midnight_Express_(film),"Alan Marshall , David Puttnam",Columbia,$2.3 million,2300000
An Unmarried Woman,1978,http://en.wikipedia.org/wiki/An_Unmarried_Woman,False,http://oscars.yipitdata.com/films/An_Unmarried_Woman,"Paul Mazursky , Tony Ray","20th Century Fox, Casablanca Filmworks","$2,515,000 [ 1 ]",2515000
Kramer vs. Kramer,1979,http://en.wikipedia.org/wiki/Kramer_vs._Kramer,True,http://oscars.yipitdata.com/films/Kramer_vs._Kramer,Stanley R. Jaffe,Columbia,$8 million [ 1 ],8000000
All That Jazz,1979,http://en.wikipedia.org/wiki/All_That_Jazz_(film),False,http://oscars.yipitdata.com/films/All_That_Jazz_(film),Robert Alan Aurthur,"20th Century Fox, Columbia",$12 million [ 2 ],12000000
Apocalypse Now,1979,http://en.wikipedia.org/wiki/Apocalypse_Now,False,http://oscars.yipitdata.com/films/Apocalypse_Now,"Francis Ford Coppola , Fred Roos , Gray Frederickson, Tom Sternberg","United Artists, Zoetrope",$31.5 million [ 2 ],31500000
Breaking Away,1979,http://en.wikipedia.org/wiki/Breaking_Away,False,http://oscars.yipitdata.com/films/Breaking_Away,Peter Yates,20th Century Fox,$2.3 million [ 2 ],2300000
Norma Rae,1979,http://en.wikipedia.org/wiki/Norma_Rae,False,http://oscars.yipitdata.com/films/Norma_Rae,"Tamara Asseyev , Alex Rose",20th Century Fox,$4.5 million [ 2 ],4500000
Ordinary People,1980,http://en.wikipedia.org/wiki/Ordinary_People,True,http://oscars.yipitdata.com/films/Ordinary_People,Ronald L. Schwary,Paramount,$6 million,6000000
Coal Miner's Daughter,1980,http://en.wikipedia.org/wiki/Coal_Miner%27s_Daughter_(film),False,http://oscars.yipitdata.com/films/Coal_Miner%2527s_Daughter_(film),Bernard Schwartz,Universal,$15 million [ 1 ],15000000
The Elephant Man,1980,http://en.wikipedia.org/wiki/The_Elephant_Man_(film),False,http://oscars.yipitdata.com/films/The_Elephant_Man_(film),Jonathan Sanger,"Paramount, Brooksfilms",$5 million,5000000
Raging Bull,1980,http://en.wikipedia.org/wiki/Raging_Bull,False,http://oscars.yipitdata.com/films/Raging_Bull,"Irwin Winkler , Robert Chartoff",United Artists,$18 million [ 2 ],18000000
Tess,1980,http://en.wikipedia.org/wiki/Tess_(film),False,http://oscars.yipitdata.com/films/Tess_(film),"Claude Berri , Timothy Burrill","Renn Productions, Timothy Burrill Productions",$12 million (est.),12000000
Chariots of Fire,1981,http://en.wikipedia.org/wiki/Chariots_of_Fire,True,http://oscars.yipitdata.com/films/Chariots_of_Fire,David Puttnam,"Warner Bros., Enigma Film Productions",£3 million [ 1 ],3900000
Atlantic City,1981,http://en.wikipedia.org/wiki/Atlantic_City_(1980_film),False,http://oscars.yipitdata.com/films/Atlantic_City_(1980_film),Denis Héroux,"Paramount, Cine-Neighbor, Selta Films",$7.2 million,7200000
On Golden Pond,1981,http://en.wikipedia.org/wiki/On_Golden_Pond_(1981_film),False,http://oscars.yipitdata.com/films/On_Golden_Pond_(1981_film),Bruce Gilbert,"ITC , Universal",$15 million [ 1 ],15000000
Raiders of the Lost Ark,1981,http://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,False,http://oscars.yipitdata.com/films/Raiders_of_the_Lost_Ark,Frank Marshall,"Lucasfilm, Paramount",$18 million [ 1 ],18000000
Reds,1981,http://en.wikipedia.org/wiki/Reds_(film),False,http://oscars.yipitdata.com/films/Reds_(film),Warren Beatty,Paramount,$32 million,32000000
Gandhi,1982,http://en.wikipedia.org/wiki/Gandhi_(film),True,http://oscars.yipitdata.com/films/Gandhi_(film),Richard Attenborough,Columbia,$22 million [ 3 ],22000000
E.T. the Extra-Terrestrial,1982,http://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial,False,http://oscars.yipitdata.com/films/E.T._the_Extra-Terrestrial,"Steven Spielberg , Kathleen Kennedy [M]","Universal, Amblin Entertainment",$10.500.000 [ 2 ],10500000
Missing,1982,http://en.wikipedia.org/wiki/Missing_(film),False,http://oscars.yipitdata.com/films/Missing_(film),"Edward Lewis, Mildred Lewis",Universal,$5 million [ 1 ],5000000
Tootsie,1982,http://en.wikipedia.org/wiki/Tootsie,False,http://oscars.yipitdata.com/films/Tootsie,"Sydney Pollack , Dick Richards",Columbia,$21 million [ 1 ],21000000
The Verdict,1982,http://en.wikipedia.org/wiki/The_Verdict,False,http://oscars.yipitdata.com/films/The_Verdict,"Richard D. Zanuck , David Brown",20th Century Fox,$16 million [ 1 ] [ 2 ],16000000
Terms of Endearment,1983,http://en.wikipedia.org/wiki/Terms_of_Endearment,True,http://oscars.yipitdata.com/films/Terms_of_Endearment,James L. Brooks,Paramount,$8 million,8000000
The Big Chill,1983,http://en.wikipedia.org/wiki/The_Big_Chill_(film),False,http://oscars.yipitdata.com/films/The_Big_Chill_(film),Michael Shamberg,Columbia,,0
The Dresser,1983,http://en.wikipedia.org/wiki/The_Dresser,False,http://oscars.yipitdata.com/films/The_Dresser,Peter Yates,"Columbia, Goldcrest, World Film Services",,0
The Right Stuff,1983,http://en.wikipedia.org/wiki/The_Right_Stuff_(film),False,http://oscars.yipitdata.com/films/The_Right_Stuff_(film),"Irwin Winkler , Robert Chartoff","Warner Bros., The Ladd Company",$27 million,27000000
Tender Mercies,1983,http://en.wikipedia.org/wiki/Tender_Mercies,False,http://oscars.yipitdata.com/films/Tender_Mercies,Philip S. Hobel,"Universal, EMI",$4.5 million,4500000
Amadeus,1984,http://en.wikipedia.org/wiki/Amadeus_(film),True,http://oscars.yipitdata.com/films/Amadeus_(film),Saul Zaentz,Orion,$18 million [ 2 ],18000000
The Killing Fields,1984,http://en.wikipedia.org/wiki/The_Killing_Fields_(film),False,http://oscars.yipitdata.com/films/The_Killing_Fields_(film),David Puttnam,"Warner Bros., Enigma Film Productions",$14.4 million [ 1 ],14400000
A Passage to India,1984,http://en.wikipedia.org/wiki/A_Passage_to_India_(film),False,http://oscars.yipitdata.com/films/A_Passage_to_India_(film),"John Brabourne , Richard Goodwin","Columbia, G.W. Films, Thorn EMI",£17 million [ 1 ],22100000
Places in the Heart,1984,http://en.wikipedia.org/wiki/Places_in_the_Heart,False,http://oscars.yipitdata.com/films/Places_in_the_Heart,Arlene Donovan,Tri-Star,$9.5 million,9500000
A Soldier's Story,1984,http://en.wikipedia.org/wiki/A_Soldier%27s_Story,False,http://oscars.yipitdata.com/films/A_Soldier%2527s_Story,"Norman Jewison , Ronald L. Schwary, Patrick Palmer",Columbia,,0
Out of Africa,1985,http://en.wikipedia.org/wiki/Out_of_Africa_(film),True,http://oscars.yipitdata.com/films/Out_of_Africa_(film),Sydney Pollack,"Universal, Mirage Enterprises",$28 million [ 1 ],28000000
The Color Purple,1985,http://en.wikipedia.org/wiki/The_Color_Purple_(film),False,http://oscars.yipitdata.com/films/The_Color_Purple_(film),"Steven Spielberg , Kathleen Kennedy , Frank Marshall , Quincy Jones","Warner Bros., Amblin Entertainment",$15 million,15000000
Kiss of the Spider Woman,1985,http://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(film),False,http://oscars.yipitdata.com/films/Kiss_of_the_Spider_Woman_(film),David Weisman,"Island Alive, FilmDallas Pictures, HB Filmes",,0
Prizzi's Honor,1985,http://en.wikipedia.org/wiki/Prizzi%27s_Honor,False,http://oscars.yipitdata.com/films/Prizzi%2527s_Honor,John Foreman,"20th Century Fox, ABC Motion Pictures",$16 million [ 1 ],16000000
Witness,1985,http://en.wikipedia.org/wiki/Witness_(1985_film),False,http://oscars.yipitdata.com/films/Witness_(1985_film),Edward S. Feldman,Paramount,$12 million,12000000
Platoon,1986,http://en.wikipedia.org/wiki/Platoon_(film),True,http://oscars.yipitdata.com/films/Platoon_(film),Arnold Kopelson,"Orion, Hemdale",$6 million [ 2 ],6000000
Children of a Lesser God,1986,http://en.wikipedia.org/wiki/Children_of_a_Lesser_God,False,http://oscars.yipitdata.com/films/Children_of_a_Lesser_God,"Burt Sugarman , Patrick J. Palmer",Paramount,$2 million [ 1 ],2000000
Hannah and Her Sisters,1986,http://en.wikipedia.org/wiki/Hannah_and_Her_Sisters,False,http://oscars.yipitdata.com/films/Hannah_and_Her_Sisters,Robert Greenhut,Orion,"$6,400,000 (est.)",6400000
The Mission,1986,http://en.wikipedia.org/wiki/The_Mission_(1986_film),False,http://oscars.yipitdata.com/films/The_Mission_(1986_film),"Fernando Ghia , David Puttnam","Warner Bros., Enigma Film Productions, Goldcrest Films , Kingsmere",£16.5 million [ 1 ],21450000
A Room with a View,1986,http://en.wikipedia.org/wiki/A_Room_with_a_View_(1986_film),False,http://oscars.yipitdata.com/films/A_Room_with_a_View_(1986_film),Ismail Merchant,Merchant Ivory,£2.3 million [ 1 ],2990000
The Last Emperor [O],1987,http://en.wikipedia.org/wiki/The_Last_Emperor,True,http://oscars.yipitdata.com/films/The_Last_Emperor,Jeremy Thomas,"Columbia, Recorded Picture Company, Yanco Films, TAO Films, AAA, Soprofilms",$23.8 million [ 1 ],23800000
Broadcast News,1987,http://en.wikipedia.org/wiki/Broadcast_News_(film),False,http://oscars.yipitdata.com/films/Broadcast_News_(film),James L. Brooks,20th Century Fox,$15 million [ 1 ],15000000
Fatal Attraction,1987,http://en.wikipedia.org/wiki/Fatal_Attraction,False,http://oscars.yipitdata.com/films/Fatal_Attraction,"Stanley R. Jaffe , Sherry Lansing",Paramount,$14 million,14000000
Hope and Glory,1987,http://en.wikipedia.org/wiki/Hope_and_Glory_(film),False,http://oscars.yipitdata.com/films/Hope_and_Glory_(film),John Boorman,"Columbia, Goldcrest Films, Nelson Entertainment",$9.3 million [ 1 ],9300000
Moonstruck,1987,http://en.wikipedia.org/wiki/Moonstruck,False,http://oscars.yipitdata.com/films/Moonstruck,"Patrick J. Palmer, Norman Jewison",Metro-Goldwyn-Mayer,$15 million [ 1 ],15000000
Rain Man,1988,http://en.wikipedia.org/wiki/Rain_Man,True,http://oscars.yipitdata.com/films/Rain_Man,Mark Johnson,United Artists,$25 million [ 1 ],25000000
The Accidental Tourist,1988,http://en.wikipedia.org/wiki/The_Accidental_Tourist_(film),False,http://oscars.yipitdata.com/films/The_Accidental_Tourist_(film),"Lawrence Kasdan , Charles Okun, Michael Grillo",Warner Bros.,,0
Dangerous Liaisons,1988,http://en.wikipedia.org/wiki/Dangerous_Liaisons,False,http://oscars.yipitdata.com/films/Dangerous_Liaisons,"Norma Heyman , Hank Moonjean","Warner Bros., Lorimar, N.F.H. Productions",$14 million,14000000
Mississippi Burning,1988,http://en.wikipedia.org/wiki/Mississippi_Burning,False,http://oscars.yipitdata.com/films/Mississippi_Burning,"Frederick Zollo , Robert F. Colesberry",Orion,,0
Working Girl,1988,http://en.wikipedia.org/wiki/Working_Girl,False,http://oscars.yipitdata.com/films/Working_Girl,Douglas Wick,20th Century Fox,$ 28.6 million,28600000
Driving Miss Daisy,1989,http://en.wikipedia.org/wiki/Driving_Miss_Daisy,True,http://oscars.yipitdata.com/films/Driving_Miss_Daisy,"Richard D. Zanuck , Lili Fini Zanuck",Warner Bros.,$7.5 million [ 3 ],7500000
Born on the Fourth of July,1989,http://en.wikipedia.org/wiki/Born_on_the_Fourth_of_July_(film),False,http://oscars.yipitdata.com/films/Born_on_the_Fourth_of_July_(film),"A. Kitman Ho, Oliver Stone",Universal,$14 million,14000000
Dead Poets Society,1989,http://en.wikipedia.org/wiki/Dead_Poets_Society,False,http://oscars.yipitdata.com/films/Dead_Poets_Society,"Steven Haft, Paul Junger Witt , Tony Thomas",Touchstone,$16.4 million,16400000
Field of Dreams,1989,http://en.wikipedia.org/wiki/Field_of_Dreams,False,http://oscars.yipitdata.com/films/Field_of_Dreams,"Lawrence Gordon , Charles Gordon",Universal,$15 million [ 2 ] [ 3 ],15000000
My Left Foot,1989,http://en.wikipedia.org/wiki/My_Left_Foot,False,http://oscars.yipitdata.com/films/My_Left_Foot,Noel Pearson,"Miramax , Ferndale Films, Granada Television International","£600,000",780000
Dances with Wolves,1990,http://en.wikipedia.org/wiki/Dances_with_Wolves,True,http://oscars.yipitdata.com/films/Dances_with_Wolves,Jim Wilson and Kevin Costner,"Orion, TIG Productions",$22 million [ 2 ],22000000
Awakenings,1990,http://en.wikipedia.org/wiki/Awakenings,False,http://oscars.yipitdata.com/films/Awakenings,Walter F. Parkes and Lawrence Lasker,Columbia,$31 million [ 1 ],31000000
Ghost,1990,http://en.wikipedia.org/wiki/Ghost_(1990_film),False,http://oscars.yipitdata.com/films/Ghost_(1990_film),Lisa Weinstein,Paramount,$22 million,22000000
The Godfather Part III,1990,http://en.wikipedia.org/wiki/The_Godfather_Part_III,False,http://oscars.yipitdata.com/films/The_Godfather_Part_III,Francis Ford Coppola,"Paramount, American Zoetrope",$54 million [ 2 ],54000000
Goodfellas,1990,http://en.wikipedia.org/wiki/Goodfellas,False,http://oscars.yipitdata.com/films/Goodfellas,Irwin Winkler,Warner Bros.,$25 million [ 2 ],25000000
The Silence of the Lambs,1991,http://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),True,http://oscars.yipitdata.com/films/The_Silence_of_the_Lambs_(film),"Edward Saxon , Kenneth Utt , and Ron Bozman",Orion,$19 million [ 2 ],19000000
Beauty and the Beast,1991,http://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film),False,http://oscars.yipitdata.com/films/Beauty_and_the_Beast_(1991_film),Don Hahn,Disney,$25 million [ 2 ],25000000
Bugsy,1991,http://en.wikipedia.org/wiki/Bugsy,False,http://oscars.yipitdata.com/films/Bugsy,"Mark Johnson , Barry Levinson , and Warren Beatty","TriStar, Mulholland Productions, Baltimore Pictures",$30 million [ 2 ],30000000
JFK,1991,http://en.wikipedia.org/wiki/JFK_(film),False,http://oscars.yipitdata.com/films/JFK_(film),A. Kitman Ho and Oliver Stone,"Warner Bros., Regency Enterprises",$40 million,40000000
The Prince of Tides,1991,http://en.wikipedia.org/wiki/The_Prince_of_Tides,False,http://oscars.yipitdata.com/films/The_Prince_of_Tides,Barbra Streisand and Andrew S. Karsch,Columbia,$30 million,30000000
Unforgiven,1992,http://en.wikipedia.org/wiki/Unforgiven,True,http://oscars.yipitdata.com/films/Unforgiven,Clint Eastwood,"Warner Bros., Malpaso",$14.4 million [ 2 ],14400000
The Crying Game,1992,http://en.wikipedia.org/wiki/The_Crying_Game,False,http://oscars.yipitdata.com/films/The_Crying_Game,Stephen Woolley,"Miramax, Palace Pictures",£ 2.3 million ( $ 3.6 million),2990000
A Few Good Men,1992,http://en.wikipedia.org/wiki/A_Few_Good_Men,False,http://oscars.yipitdata.com/films/A_Few_Good_Men,"David Brown , Rob Reiner , and Andrew Scheinman","Columbia, Castle Rock Entertainment",$33–40 million [ 1 ] [ 2 ],33000000
Howards End,1992,http://en.wikipedia.org/wiki/Howards_End_(film),False,http://oscars.yipitdata.com/films/Howards_End_(film),Ismail Merchant,"Sony Pictures Classics , Merchant Ivory",$8 million,8000000
Scent of a Woman,1992,http://en.wikipedia.org/wiki/Scent_of_a_Woman_(1992_film),False,http://oscars.yipitdata.com/films/Scent_of_a_Woman_(1992_film),Martin Brest,Universal,$31 million [ 1 ],31000000
Schindler's List,1993,http://en.wikipedia.org/wiki/Schindler%27s_List,True,http://oscars.yipitdata.com/films/Schindler%2527s_List,"Steven Spielberg , Gerald R. Molen , and Branko Lustig","Universal, Amblin Entertainment",$22 million [ 2 ],22000000
The Fugitive,1993,http://en.wikipedia.org/wiki/The_Fugitive_(1993_film),False,http://oscars.yipitdata.com/films/The_Fugitive_(1993_film),Arnold Kopelson,Warner Bros.,$44 million [ 1 ],44000000
In the Name of the Father,1993,http://en.wikipedia.org/wiki/In_the_Name_of_the_Father_(film),False,http://oscars.yipitdata.com/films/In_the_Name_of_the_Father_(film),Jim Sheridan,"Universal, Hell's Kitchen",$13 million,13000000
The Piano,1993,http://en.wikipedia.org/wiki/The_Piano,False,http://oscars.yipitdata.com/films/The_Piano,Jan Chapman,"Miramax, Jan Chapman Productions",$7 million [ 1 ],7000000
The Remains of the Day,1993,http://en.wikipedia.org/wiki/The_Remains_of_the_Day_(film),False,http://oscars.yipitdata.com/films/The_Remains_of_the_Day_(film),"Mike Nichols , John Calley , and Ismail Merchant","Columbia, Merchant Ivory",$15 million,15000000
Forrest Gump,1994,http://en.wikipedia.org/wiki/Forrest_Gump,True,http://oscars.yipitdata.com/films/Forrest_Gump,"Wendy Finerman , Steve Tisch , and Steve Starkey",Paramount,$55 million [ 1 ],55000000
Four Weddings and a Funeral,1994,http://en.wikipedia.org/wiki/Four_Weddings_and_a_Funeral,False,http://oscars.yipitdata.com/films/Four_Weddings_and_a_Funeral,Duncan Kenworthy,"PolyGram , Working Title","£2,800,000",3640000
Pulp Fiction,1994,http://en.wikipedia.org/wiki/Pulp_Fiction,False,http://oscars.yipitdata.com/films/Pulp_Fiction,Lawrence Bender,Miramax,$8–8.5 million [ 2 ] [ 3 ],8000000
Quiz Show,1994,http://en.wikipedia.org/wiki/Quiz_Show_(film),False,http://oscars.yipitdata.com/films/Quiz_Show_(film),"Michael Jacobs , Julian Krainin, Michael Nozik , and Robert Redford",Hollywood,$31 million [ 1 ],31000000
The Shawshank Redemption,1994,http://en.wikipedia.org/wiki/The_Shawshank_Redemption,False,http://oscars.yipitdata.com/films/The_Shawshank_Redemption,Niki Marvin,"Columbia, Castle Rock Entertainment",$25 million [ 2 ],25000000
Braveheart,1995,http://en.wikipedia.org/wiki/Braveheart,True,http://oscars.yipitdata.com/films/Braveheart,"Mel Gibson , Alan Ladd, Jr. , and Bruce Davey","Paramount, 20th Century Fox, Icon",$72 million [ 2 ],72000000
Apollo 13,1995,http://en.wikipedia.org/wiki/Apollo_13_(film),False,http://oscars.yipitdata.com/films/Apollo_13_(film),Brian Grazer,"Universal, Imagine Entertainment",$52 million [ 1 ],52000000
Babe,1995,http://en.wikipedia.org/wiki/Babe_(film),False,http://oscars.yipitdata.com/films/Babe_(film),"Bill Miller , George Miller , and Doug Mitchell","Universal, Kennedy Miller Productions",$30 million,30000000
Il Postino: The Postman [K],1995,http://en.wikipedia.org/wiki/Il_Postino:_The_Postman,False,http://oscars.yipitdata.com/films/Il_Postino:_The_Postman,"Mario Cecchi Gori , Vittorio Cecchi Gori , and Gaetano Daniele","Miramax, Cecchi Gori Group Tiger Cinematografica, Esterno Mediterraneo Film, Blue Dahlia, Penta Film",$3 million [ 1 ],3000000
Sense and Sensibility,1995,http://en.wikipedia.org/wiki/Sense_and_Sensibility_(film),False,http://oscars.yipitdata.com/films/Sense_and_Sensibility_(film),Lindsay Doran,"Columbia, Mirage",$16 million,16000000
The English Patient,1996,http://en.wikipedia.org/wiki/The_English_Patient_(film),True,http://oscars.yipitdata.com/films/The_English_Patient_(film),Saul Zaentz,"Miramax, Tiger Moth Productions",$27 million [ 2 ],27000000
Fargo,1996,http://en.wikipedia.org/wiki/Fargo_(film),False,http://oscars.yipitdata.com/films/Fargo_(film),Ethan Coen,PolyGram,$7 million [ 3 ],7000000
Jerry Maguire,1996,http://en.wikipedia.org/wiki/Jerry_Maguire,False,http://oscars.yipitdata.com/films/Jerry_Maguire,"James L. Brooks , Laurence Mark , Richard Sakai , and Cameron Crowe","TriStar, Gracie Films",$50 million,50000000
Secrets & Lies,1996,http://en.wikipedia.org/wiki/Secrets_%26_Lies_(film),False,http://oscars.yipitdata.com/films/Secrets_%26_Lies_(film),Simon Channing-Williams,"October , Thin Man Films",0,0
Shine,1996,http://en.wikipedia.org/wiki/Shine_(film),False,http://oscars.yipitdata.com/films/Shine_(film),Jane Scott,"FineLine Features , Momentum Films",$6 million [ 1 ],6000000
Titanic,1997,http://en.wikipedia.org/wiki/Titanic_(1997_film),True,http://oscars.yipitdata.com/films/Titanic_(1997_film),James Cameron and Jon Landau,"Paramount, 20th Century Fox, Lightstorm Entertainment",$200 million [ 3 ] [ 4 ] [ 5 ],200000000
As Good as It Gets,1997,http://en.wikipedia.org/wiki/As_Good_as_It_Gets,False,http://oscars.yipitdata.com/films/As_Good_as_It_Gets,"James L. Brooks , Bridget Johnson, Kristi Zea","Tristar, Gracie Films",$50 million [ 1 ],50000000
The Full Monty,1997,http://en.wikipedia.org/wiki/The_Full_Monty,False,http://oscars.yipitdata.com/films/The_Full_Monty,Umberto Pasolini,"Fox Searchlight , Redwave Films",£3 million [ 2 ]  ($3.5 million) [ 3 ],3900000
Good Will Hunting,1997,http://en.wikipedia.org/wiki/Good_Will_Hunting,False,http://oscars.yipitdata.com/films/Good_Will_Hunting,Lawrence Bender,"Miramax, A Band Apart",$10 million,10000000
L.A. Confidential,1997,http://en.wikipedia.org/wiki/L.A._Confidential_(film),False,http://oscars.yipitdata.com/films/L.A._Confidential_(film),"Curtis Hanson , Arnon Milchan , and Michael G. Nathanson","Warner Bros., Regency Enterprises",$35 million,35000000
Shakespeare in Love,1998,http://en.wikipedia.org/wiki/Shakespeare_in_Love,True,http://oscars.yipitdata.com/films/Shakespeare_in_Love,"David Parfitt , Donna Gigliotti , Harvey Weinstein , Edward Zwick , and Marc Norman","Miramax, Universal, Bedford Falls Company",$25 million [ 2 ],25000000
Elizabeth,1998,http://en.wikipedia.org/wiki/Elizabeth_(film),False,http://oscars.yipitdata.com/films/Elizabeth_(film),"Alison Owen , Eric Fellner , and Tim Bevan","PolyGram, Gramercy",$30 million,30000000
Life Is Beautiful [K],1998,http://en.wikipedia.org/wiki/Life_Is_Beautiful,False,http://oscars.yipitdata.com/films/Life_Is_Beautiful,Elda Ferri and Gianluigi Braschi,"Miramax, Melampo Cinematografica, Pacific Pictures",$20 million [ 2 ],20000000
Saving Private Ryan,1998,http://en.wikipedia.org/wiki/Saving_Private_Ryan,False,http://oscars.yipitdata.com/films/Saving_Private_Ryan,"Steven Spielberg , Ian Bryce , Mark Gordon , and Gary Levinsohn","DreamWorks , Paramount, Amblin Entertainment",$70 million [ 1 ],70000000
The Thin Red Line,1998,http://en.wikipedia.org/wiki/The_Thin_Red_Line_(1998_film),False,http://oscars.yipitdata.com/films/The_Thin_Red_Line_(1998_film),"Robert Michael Geisler, John Roberdeau, and Grant Hill",20th Century Fox,$52 million [ 1 ],52000000
American Beauty,1999,http://en.wikipedia.org/wiki/American_Beauty_(1999_film),True,http://oscars.yipitdata.com/films/American_Beauty_(1999_film),Bruce Cohen and Dan Jinks,"DreamWorks, Jinks/Cohen Co.",$15 million [ 2 ],15000000
The Cider House Rules,1999,http://en.wikipedia.org/wiki/The_Cider_House_Rules_(film),False,http://oscars.yipitdata.com/films/The_Cider_House_Rules_(film),Richard N. Gladstein,"Miramax, FilmColony",$24 million [ 2 ],24000000
The Green Mile,1999,http://en.wikipedia.org/wiki/The_Green_Mile_(film),False,http://oscars.yipitdata.com/films/The_Green_Mile_(film),Frank Darabont and David Valdes,"Warner Bros., Castle Rock Entertainment",$60 million [ 1 ],60000000
The Insider,1999,http://en.wikipedia.org/wiki/The_Insider_(film),False,http://oscars.yipitdata.com/films/The_Insider_(film),Pieter Jan Brugge and Michael Mann,"Touchstone, Spyglass Entertainment",$90 million,90000000
The Sixth Sense,1999,http://en.wikipedia.org/wiki/The_Sixth_Sense,False,http://oscars.yipitdata.com/films/The_Sixth_Sense,"Frank Marshall , Kathleen Kennedy , and Barry Mendel","Hollywood, Spyglass Entertainment",$40 million [ 1 ],40000000
Gladiator,2000,http://en.wikipedia.org/wiki/Gladiator_(2000_film),True,http://oscars.yipitdata.com/films/Gladiator_(2000_film),"Douglas Wick , David Franzoni , and Branko Lustig","DreamWorks, Universal, Scott Free Productions, Red Wagon Entertainment",$103 million [ 6 ] [ 7 ],103000000
Chocolat,2000,http://en.wikipedia.org/wiki/Chocolat_(2000_film),False,http://oscars.yipitdata.com/films/Chocolat_(2000_film),"David Brown , Kit Golden, and Leslie Holleran",Miramax,$25 million,25000000
"Crouching Tiger, Hidden Dragon [K]",2000,"http://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon",False,"http://oscars.yipitdata.com/films/Crouching_Tiger,_Hidden_Dragon","William Kong , Hsu Li Kong , and Ang Lee",Sony Pictures Classics,$17 million,17000000
Erin Brockovich,2000,http://en.wikipedia.org/wiki/Erin_Brockovich_(film),False,http://oscars.yipitdata.com/films/Erin_Brockovich_(film),"Danny DeVito , Michael Shamberg , and Stacey Sher","Universal, Columbia, Jersey Films",$51 million,51000000
Traffic,2000,http://en.wikipedia.org/wiki/Traffic_(2000_film),False,http://oscars.yipitdata.com/films/Traffic_(2000_film),"Edward Zwick , Marshall Herskovitz , and Laura Bickford","Universal, USA , Bedford Falls Company",$46 million [ 1 ],46000000
A Beautiful Mind,2001,http://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),True,http://oscars.yipitdata.com/films/A_Beautiful_Mind_(film),Brian Grazer and Ron Howard,"DreamWorks, Universal, Imagine Entertainment",$58 million [ 1 ],58000000
Gosford Park,2001,http://en.wikipedia.org/wiki/Gosford_Park,False,http://oscars.yipitdata.com/films/Gosford_Park,"Robert Altman , Bob Balaban , and David Levy","USA, Sandcastle 5 Productions, Zestwick",$19.8 million [ 1 ],19800000
In the Bedroom,2001,http://en.wikipedia.org/wiki/In_the_Bedroom,False,http://oscars.yipitdata.com/films/In_the_Bedroom,"Graham Leader, Ross Katz , and Todd Field","Miramax, Good Machine",$1.7 million [ 1 ],1700000
The Lord of the Rings: The Fellowship of the Ring,2001,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False,http://oscars.yipitdata.com/films/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,"Peter Jackson , Fran Walsh , and Barrie M. Osborne","New Line Cinema , WingNut Films",$93 million [ 3 ],93000000
Moulin Rouge!,2001,http://en.wikipedia.org/wiki/Moulin_Rouge!,False,http://oscars.yipitdata.com/films/Moulin_Rouge!,"Martin Brown, Baz Luhrmann , and Fred Baron","20th Century Fox, Bazmark",$52 million [ 2 ],52000000
Chicago,2002,http://en.wikipedia.org/wiki/Chicago_(2002_film),True,http://oscars.yipitdata.com/films/Chicago_(2002_film),Martin Richards,"Miramax, Producer Circle Co., Storyline Entertainment",$45 million [ 2 ],45000000
Gangs of New York,2002,http://en.wikipedia.org/wiki/Gangs_of_New_York,False,http://oscars.yipitdata.com/films/Gangs_of_New_York,Alberto Grimaldi and Harvey Weinstein,Miramax,$97–$100 million [ 2 ] [ 3 ],97000000
The Hours,2002,http://en.wikipedia.org/wiki/The_Hours_(film),False,http://oscars.yipitdata.com/films/The_Hours_(film),Scott Rudin and Robert Fox,"Paramount, Miramax, Scott Rudin Productions",$25 million,25000000
The Lord of the Rings: The Two Towers,2002,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers,False,http://oscars.yipitdata.com/films/The_Lord_of_the_Rings:_The_Two_Towers,"Barrie M. Osborne , Fran Walsh , and Peter Jackson","New Line Cinema, WingNut Films",$94 million [ 5 ],94000000
The Pianist,2002,http://en.wikipedia.org/wiki/The_Pianist_(2002_film),False,http://oscars.yipitdata.com/films/The_Pianist_(2002_film),"Roman Polanski , Robert Benmussa, and Alain Sarde","Focus Features , RP Productions, Heritage Films, Babelsberg Studios, Runteam",$35 million [ 2 ],35000000
