film,year,wiki_url,oscar_winner,detail_url,producers,production_company,original_budget,converted_budget
Cat on a Hot Tin Roof,1958,http://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof_(film),False,http://oscars.yipitdata.com/films/Cat_on_a_Hot_Tin_Roof_(film),Lawrence Weingarten,Metro-Goldwyn-Mayer,"$2,345,000 [ 1 ]",2345000
The Defiant Ones,1958,http://en.wikipedia.org/wiki/The_Defiant_Ones,False,http://oscars.yipitdata.com/films/The_Defiant_Ones,Stanley Kramer,"Kramer, United Artists","$778,000 [ 1 ]",778000
Separate Tables,1958,http://en.wikipedia.org/wiki/Separate_Tables_(film),False,http://oscars.yipitdata.com/films/Separate_Tables_(film),Harold Hecht,United Artists,,0
Ben-Hur,1959,http://en.wikipedia.org/wiki/Ben-Hur_(1959_film),True,http://oscars.yipitdata.com/films/Ben-Hur_(1959_film),Sam Zimbalist,Metro-Goldwyn-Mayer,$15.2 million [ 3 ] [ 4 ],15200000
Anatomy of a Murder,1959,http://en.wikipedia.org/wiki/Anatomy_of_a_Murder,False,http://oscars.yipitdata.com/films/Anatomy_of_a_Murder,Otto Preminger,Columbia,,0
The Diary of Anne Frank,1959,http://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(1959_film),False,http://oscars.yipitdata.com/films/The_Diary_of_Anne_Frank_(1959_film),George Stevens,20th Century Fox,$3.8 million [ 1 ],3800000
The Nun's Story,1959,http://en.wikipedia.org/wiki/The_Nun%27s_Story_(film),False,http://oscars.yipitdata.com/films/The_Nun%2527s_Story_(film),Henry Blanke,Warner Bros.,$3.5 million [ 1 ],3500000
Room at the Top,1959,http://en.wikipedia.org/wiki/Room_at_the_Top_(1959_film),False,http://oscars.yipitdata.com/films/Room_at_the_Top_(1959_film),John and James Woolf,Remus Films,"£280,000 [ 1 ]",364000
The Apartment,1960,http://en.wikipedia.org/wiki/The_Apartment,True,http://oscars.yipitdata.com/films/The_Apartment,Billy Wilder,"United Artists, The Mirisch Company",$3 million,3000000
The Alamo,1960,http://en.wikipedia.org/wiki/The_Alamo_(1960_film),False,http://oscars.yipitdata.com/films/The_Alamo_(1960_film),John Wayne,"United Artists, Batjac Productions",$12 million est. [ 1 ],12000000
Elmer Gantry,1960,http://en.wikipedia.org/wiki/Elmer_Gantry_(film),False,http://oscars.yipitdata.com/films/Elmer_Gantry_(film),Bernard Smith,United Artists,$3 million,3000000
Sons and Lovers,1960,http://en.wikipedia.org/wiki/Sons_and_Lovers_(1960_film),False,http://oscars.yipitdata.com/films/Sons_and_Lovers_(1960_film),Jerry Wald,20th Century Fox,"$805,000 [ 1 ]",805000
The Sundowners,1960,http://en.wikipedia.org/wiki/The_Sundowners,False,http://oscars.yipitdata.com/films/The_Sundowners,Fred Zinnemann,Warner Bros.,,0
West Side Story,1961,http://en.wikipedia.org/wiki/West_Side_Story_(film),True,http://oscars.yipitdata.com/films/West_Side_Story_(film),Robert Wise,United Artists,$6 million,6000000
Fanny,1961,http://en.wikipedia.org/wiki/Fanny_(1961_film),False,http://oscars.yipitdata.com/films/Fanny_(1961_film),Joshua Logan,Warner Bros.,,0
The Guns of Navarone,1961,http://en.wikipedia.org/wiki/The_Guns_of_Navarone_(film),False,http://oscars.yipitdata.com/films/The_Guns_of_Navarone_(film),Carl Foreman,Columbia,$6 million,6000000
The Hustler,1961,http://en.wikipedia.org/wiki/The_Hustler_(film),False,http://oscars.yipitdata.com/films/The_Hustler_(film),Robert Rossen,20th Century Fox,"$2,125,000 [ 1 ]",2125000
Judgment at Nuremberg,1961,http://en.wikipedia.org/wiki/Judgment_at_Nuremberg,False,http://oscars.yipitdata.com/films/Judgment_at_Nuremberg,Stanley Kramer,United Artists,$3 million [ 1 ],3000000
Lawrence of Arabia,1962,http://en.wikipedia.org/wiki/Lawrence_of_Arabia_(film),True,http://oscars.yipitdata.com/films/Lawrence_of_Arabia_(film),Sam Spiegel,Columbia,$15 million [ 3 ],15000000
The Longest Day,1962,http://en.wikipedia.org/wiki/The_Longest_Day_(film),False,http://oscars.yipitdata.com/films/The_Longest_Day_(film),Darryl F. Zanuck,20th Century Fox,$7.75 million [ 1 ],7750000
The Music Man,1962,http://en.wikipedia.org/wiki/The_Music_Man_(1962_film),False,http://oscars.yipitdata.com/films/The_Music_Man_(1962_film),Morton DaCosta,Warner Bros.,,0
Mutiny on the Bounty,1962,http://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1962_film),False,http://oscars.yipitdata.com/films/Mutiny_on_the_Bounty_(1962_film),Aaron Rosenberg,Metro-Goldwyn-Mayer,$19 million,19000000
To Kill a Mockingbird,1962,http://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(film),False,http://oscars.yipitdata.com/films/To_Kill_a_Mockingbird_(film),Alan J. Pakula,Universal-International,$2 million [ 1 ],2000000
Tom Jones,1963,http://en.wikipedia.org/wiki/Tom_Jones_(1963_film),True,http://oscars.yipitdata.com/films/Tom_Jones_(1963_film),Tony Richardson,"United Artists, Woodfall Films","$1 million or £467,000 [ 1 ]",1000000
"America, America",1963,"http://en.wikipedia.org/wiki/America,_America",False,"http://oscars.yipitdata.com/films/America,_America",Elia Kazan,Warner Bros.,,0
Cleopatra,1963,http://en.wikipedia.org/wiki/Cleopatra_(1963_film),False,http://oscars.yipitdata.com/films/Cleopatra_(1963_film),Walter Wanger,20th Century Fox,$31.115 million [ 3 ],31115000
How the West Was Won,1963,http://en.wikipedia.org/wiki/How_the_West_Was_Won_(film),False,http://oscars.yipitdata.com/films/How_the_West_Was_Won_(film),Bernard Smith,"Metro-Goldwyn-Mayer, Cinerama","$14,483,000 [ 1 ] [ 2 ] [ 3 ]",14483000
Lilies of the Field,1963,http://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),False,http://oscars.yipitdata.com/films/Lilies_of_the_Field_(1963_film),Ralph Nelson,United Artists,"$240,000 [ 1 ]",240000
My Fair Lady,1964,http://en.wikipedia.org/wiki/My_Fair_Lady_(film),True,http://oscars.yipitdata.com/films/My_Fair_Lady_(film),Jack L. Warner,Warner Bros.,$17 million [ 1 ],17000000
Becket,1964,http://en.wikipedia.org/wiki/Becket_(1964_film),False,http://oscars.yipitdata.com/films/Becket_(1964_film),Hal B. Wallis,Paramount,$3 million,3000000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,http://en.wikipedia.org/wiki/Dr._Strangelove,False,http://oscars.yipitdata.com/films/Dr._Strangelove,Stanley Kubrick,Columbia,$1.8 million [ 3 ],1800000
Mary Poppins,1964,http://en.wikipedia.org/wiki/Mary_Poppins_(film),False,http://oscars.yipitdata.com/films/Mary_Poppins_(film),"Walt Disney , Bill Walsh",Disney,,0
Zorba the Greek,1964,http://en.wikipedia.org/wiki/Zorba_the_Greek_(film),False,http://oscars.yipitdata.com/films/Zorba_the_Greek_(film),Michael Cacoyannis,20th Century Fox,"$783,000 [ 1 ]",783000
The Sound of Music,1965,http://en.wikipedia.org/wiki/The_Sound_of_Music_(film),True,http://oscars.yipitdata.com/films/The_Sound_of_Music_(film),Robert Wise,20th Century Fox,$8.2 million [ 2 ] [ 3 ],8200000
Darling,1965,http://en.wikipedia.org/wiki/Darling_(1965_film),False,http://oscars.yipitdata.com/films/Darling_(1965_film),Joseph Janni,Embassy,"£300,000 [ 1 ]",390000
Doctor Zhivago,1965,http://en.wikipedia.org/wiki/Doctor_Zhivago_(film),False,http://oscars.yipitdata.com/films/Doctor_Zhivago_(film),Carlo Ponti,"Metro-Goldwyn-Mayer, Vic Films, Appia Films",$11 million,11000000
Ship of Fools,1965,http://en.wikipedia.org/wiki/Ship_of_Fools_(film),False,http://oscars.yipitdata.com/films/Ship_of_Fools_(film),Stanley Kramer,Columbia,,0
A Thousand Clowns,1965,http://en.wikipedia.org/wiki/A_Thousand_Clowns_(film),False,http://oscars.yipitdata.com/films/A_Thousand_Clowns_(film),Fred Coe,United Artists,,0
